id,create_at,update_at,name,owner,language,stars,watchers,forks,size
28457823,2014-12-24T17:49:19Z,2019-01-03T11:48:57Z,freeCodeCamp,freeCodeCamp,JavaScript,296781,296781,20703,103560
2126244,2011-07-29T21:19:00Z,2019-01-03T11:50:42Z,bootstrap,twbs,CSS,129762,129762,63732,133004
11730342,2013-07-29T03:24:51Z,2019-01-03T12:08:07Z,vue,vuejs,JavaScript,123782,123782,17706,25656
10270250,2013-05-24T16:15:54Z,2019-01-03T12:09:57Z,react,facebook,JavaScript,118873,118873,21568,139955
45717250,2015-11-07T01:19:20Z,2019-01-03T11:48:56Z,tensorflow,tensorflow,C++,117813,117813,71043,293762
13491895,2013-10-11T06:50:37Z,2019-01-03T12:01:42Z,free-programming-books,EbookFoundation,,115633,115633,29138,4870
21737465,2014-07-11T13:42:37Z,2019-01-03T12:04:16Z,awesome,sindresorhus,,99040,99040,13168,651
14440270,2013-11-16T02:37:24Z,2019-01-03T11:47:18Z,You-Dont-Know-JS,getify,,93938,93938,18182,7285
291137,2009-08-28T18:15:37Z,2019-01-03T11:43:48Z,oh-my-zsh,robbyrussell,Shell,81437,81437,15901,5195
943149,2010-09-27T17:22:42Z,2019-01-03T12:04:23Z,d3,d3,JavaScript,81370,81370,20208,35965
6498492,2012-11-01T23:13:50Z,2019-01-03T11:09:13Z,javascript,airbnb,JavaScript,80126,80126,15309,2881
1062897,2010-11-08T20:17:14Z,2019-01-03T10:51:04Z,gitignore,github,,77114,77114,36763,1864
60493101,2016-06-06T02:34:12Z,2019-01-03T10:40:37Z,coding-interview-university,jwasham,,72806,72806,21242,9293
29028775,2015-01-09T18:10:16Z,2019-01-03T11:45:02Z,react-native,facebook,JavaScript,72454,72454,16197,291822
9384267,2013-04-12T01:47:36Z,2019-01-03T11:50:30Z,electron,electron,C++,68290,68290,8887,48214
2325298,2011-09-04T22:48:12Z,2019-01-03T12:05:03Z,linux,torvalds,C,67566,67566,24452,2356490
41881900,2015-09-03T20:23:38Z,2019-01-03T12:06:31Z,vscode,Microsoft,TypeScript,66632,66632,8938,177239
85077558,2017-03-15T13:45:52Z,2019-01-03T12:05:39Z,developer-roadmap,kamranahmedse,,64172,64172,10155,10997
63537249,2016-07-17T14:55:11Z,2019-01-03T12:09:10Z,create-react-app,facebook,JavaScript,61412,61412,13426,8302
21289110,2014-06-27T21:00:06Z,2019-01-03T11:39:24Z,awesome-python,vinta,Python,59451,59451,11547,3761
460078,2010-01-06T00:34:37Z,2019-01-03T09:53:17Z,angular.js,angular,JavaScript,59333,59333,29002,100031
3470471,2012-02-17T14:19:43Z,2019-01-03T10:19:49Z,Font-Awesome,FortAwesome,JavaScript,58331,58331,9917,78098
27193779,2014-11-26T19:57:11Z,2019-01-03T11:33:36Z,node,nodejs,JavaScript,56908,56908,12589,444590
2561582,2011-10-12T10:07:38Z,2019-01-03T11:55:40Z,animate.css,daneden,CSS,56516,56516,12059,726
83222441,2017-02-26T16:15:28Z,2019-01-03T10:55:33Z,system-design-primer,donnemartin,Python,54246,54246,7742,4232
23088740,2014-08-18T22:30:27Z,2019-01-03T11:23:28Z,axios,axios,JavaScript,53144,53144,4080,2808
7691631,2013-01-18T18:10:57Z,2019-01-03T10:25:47Z,moby,moby,Go,51707,51707,15038,140668
23096959,2014-08-19T04:33:40Z,2019-01-03T12:09:46Z,go,golang,Go,51381,51381,7083,193207
167174,2009-04-03T15:20:14Z,2019-01-03T09:30:10Z,jquery,jquery,JavaScript,50692,50692,17571,28106
31792824,2015-03-06T22:54:58Z,2019-01-03T12:10:59Z,flutter,flutter,Dart,48548,48548,4986,50563
1863329,2011-06-08T03:06:08Z,2019-01-03T11:33:21Z,laravel,laravel,PHP,48194,48194,14975,9452
